name,symbol,rank,market_cap,current_price,syllable_count,character_length,phonetic_score,vowel_ratio,memorability_score,pronounceability_score,uniqueness_score,name_type,has_numbers,has_special_chars,name_type_percentile,price_30d_change,price_90d_change,price_1yr_change,price_ath_change,linguistic_composite,is_mission_positive,is_high_performer,is_breakout,rank_tier,in_linguistic_sweet_spot,mission_resonance_score
Ethereum Classic,ETC,57,2511233150.0,16.26,3,16,60.0,0.4,48.0,0.0,100.0,invented,0,0,,-12.219342992592983,-32.53640730897207,-13.478255886381035,-59.289326169184285,52.0,False,False,False,established,False,43.57
Binance-Peg WETH,WETH,60,2348192635.0,3879.24,4,16,51.43,0.35714285714285715,30.43,0.0,100.0,invented,0,1,,0.8087240407965937,0.6693226717143197,61.13460430681346,-19.597069834777695,45.465,True,False,False,established,False,54.67
Aptos,APT,59,2393985404.0,3.33,2,5,100.0,0.4,100.0,41.0,100.0,invented,0,0,,-18.865714646585356,-34.99044524142973,-64.2009009547711,-78.34785470568167,85.25,False,False,False,established,True,66.05
Ondo,ONDO,62,2217447833.0,0.701664,2,4,100.0,0.5,100.0,41.0,100.0,invented,0,0,,-16.968894077544288,-32.246253783215465,7.980510766217465,-64.65324795878786,85.25,True,False,False,established,False,86.6
Aster,ASTER,67,1957123059.0,0.970037,1,5,100.0,0.4,100.0,41.0,100.0,invented,0,0,,-41.78979025415215,,0.0,-52.423237300159485,85.25,False,False,False,established,False,78.99
Falcon USD,USDF,63,2116568036.0,0.996679,2,10,56.67,0.3333333333333333,72.0,5.0,100.0,invented,0,0,,-0.14208480403883375,-0.23179633681573902,0.0,-4.681606490584944,58.417500000000004,False,False,False,established,True,57.04
Jupiter Perpetuals Liquidity Provider Token,JLP,61,2274504639.0,5.41,11,43,52.05,0.41025641025641024,30.61,0.0,100.0,tech,0,0,,1.8238046464228237,6.71681426761221,58.12838096626184,-7.888421150806353,45.665000000000006,True,False,False,established,False,54.71
Tether Gold,XAUT,64,2091398133.0,4006.41,3,11,40.0,0.3,42.0,0.0,100.0,financial,0,0,,9.880280822019227,22.925529651148377,48.36981157554087,-6.500460186295459,45.5,True,False,False,established,False,53.85
OUSG,OUSG,129,780522515.0,113.13,1,4,100.0,0.5,100.0,51.67,100.0,acronym,0,0,,0.2960122528730469,0.9745358282827027,4.111117979108222,0.0,87.9175,True,False,False,established,False,89.35
Stacks,STX,132,763963337.0,0.422497,1,6,43.33,0.16666666666666666,83.0,20.0,100.0,invented,0,0,,-22.69786964491287,-49.349709893070546,-73.61204963022047,-84.21775192851408,61.582499999999996,False,False,False,established,False,44.61
